"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@molon_labia  it's a weird day when I ""mostly"" agree with Trump. http://t.co/FfepYnLu90 #garlandshooting #Garland #BaltimoreUprising lol",FALSE,1,"molon_labia",2015-05-05 18:37:58,FALSE,NA,"595658710921433088","3100973782","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","stockmanjones",0,FALSE,FALSE,NA,NA
"RT @KeeganNYC: If you think this looks like increased safety, you might be a fascist. #BaltimoreCurfew #BaltimoreUprising http://t.co/u6xqA…",FALSE,0,NA,2015-05-05 18:37:55,FALSE,NA,"595658700062339072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheGoodSin",832,TRUE,FALSE,NA,NA
"RT @deray: Watch the @BaltimorePolice assault this peaceful protestor last night. He left on a stretcher. #BaltimoreUprising http://t.co/6b…",FALSE,0,NA,2015-05-05 18:37:46,FALSE,NA,"595658660367466496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Itskadraa",13888,TRUE,FALSE,NA,NA
"RT @FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/pPhzZcWNtB",FALSE,0,NA,2015-05-05 18:37:44,FALSE,NA,"595658651936882688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheFilthy_Phill",611,TRUE,FALSE,NA,NA
"This is #UNITY. (PhotoCred. @KiriLaurelle) #BaltimoreUprising #Community #Justice for #Fre… http://t.co/B4k6UP5OhX http://t.co/X6qk5w3i6R",FALSE,0,NA,2015-05-05 18:37:32,FALSE,NA,"595658602523791360",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I_Cant_Breathe_",0,FALSE,FALSE,NA,NA
"RT @TheFinalCall: New Edition! A Step Toward Justice http://t.co/mkdP5Js4op #BaltimoreUprising #MarilynMosby http://t.co/GpdIzrn7Jw",FALSE,0,NA,2015-05-05 18:37:31,FALSE,NA,"595658597893308416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MargueriteMcCra",64,TRUE,FALSE,NA,NA
"This is #UNITY. (PhotoCred. @KiriLaurelle) #BaltimoreUprising #Community #Justice for #Fre… http://t.co/CJXw4M5sTy http://t.co/e1o4pb1SgX",FALSE,0,NA,2015-05-05 18:37:28,FALSE,NA,"595658584735797250",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I_Cant_Breathe_",0,FALSE,FALSE,NA,NA
"RT @AmaruTMN: I'm about to put how I feel about #BaltimoreUprising in this track w @REALNPOETIC it's only right",FALSE,0,NA,2015-05-05 18:37:21,FALSE,NA,"595658557711843328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HeadWrecknHippy",1,TRUE,FALSE,NA,NA
"RT @multiasianfams: Twitter Reveals Inequity of #BaltimoreCurfew Enforcement http://t.co/3vbvKfwIvO #BaltimoreUprising http://t.co/afyltSg7…",FALSE,0,NA,2015-05-05 18:37:19,FALSE,NA,"595658548878712832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KylanWWatson",13,TRUE,FALSE,NA,NA
"RT @AmConfDiversity: How Do We Prevent Another Freddie Gray? http://t.co/HeBCVXM80F #BaltimoreUprising #BlackLivesMatter http://t.co/lGclZ3…",FALSE,0,NA,2015-05-05 18:37:16,FALSE,NA,"595658535817580544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Zapwoman",1,TRUE,FALSE,NA,NA
