"","score","text"
"142",0,"#Baltimore #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter http://t.co/SVVvSn4U1h"
"143",0,"#BaltimoreRiots #BaltimoreUprising #BlackLivesMatter Please RT"
"144",0,"RT Spread #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter http://t.co/hUc8sFcdhF RT"
"145",0,"Please RT Spread #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter"
"146",0,"#BaltimoreRiots #BaltimoreUprising #BlackLivesMatter Please RT"
"147",0,"* ##BaltimoreRiots #BaltimoreUprising #BlackLivesMatter http://t.co/zixkY7Bwu4 *"
"148",0,"RT #BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/MRz0IR6gDu RT"
"149",0,"Please RT #Baltimore #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter http://t.co/wPchAkKXwD"
"150",0,"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…"
"151",0,"RT #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter"
"152",0,"Events to build community and continue the #baltimoreuprising http://t.co/STTKJAL4ap"
"153",0,"RT #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter RT"
"154",0,"Please RT Spread #BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/9ZIwkjfZcv"
"155",0,"#BaltimoreRiots #BaltimoreUprising #BlackLivesMatter http://t.co/gu2J43VWpx #Movement #Baltimore"
"156",0,"* #BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/0BYkwPqSho *"
"157",0,"#Baltimore #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter http://t.co/eVewUoSsvn"
"158",0,"#Baltimore #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter"
"159",0,"RT #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter http://t.co/rMyy8DiwUg"
"160",0,"* ##BaltimoreRiots #BaltimoreUprising #BlackLivesMatter *"
"161",0,"RT #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter http://t.co/rmDeiyoTQu"
"162",0,"* #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter http://t.co/Cwq3Qo9Uzy *"
"163",0,"RT #Baltimore #BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/GXBWd1Rykr RT"
"164",0,"#BaltimoreRiots #BaltimoreUprising #BlackLivesMatter Please RT"
"165",0,"Spread #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter Please RT #Baltimore"
"166",0,"RT #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter"
"167",0,"* ##BaltimoreRiots #BaltimoreUprising #BlackLivesMatter *"
"168",0,"Spread #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter http://t.co/SGHbKH8YBc Please RT #Baltimore"
"169",0,"Please RT Spread #BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/20wbgNSoVl"
"170",0,"Please RT #Baltimore #BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/aWuZ8epX5J"
"171",0,"#BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/H9YbL7wf5T RT"
"172",0,"#BaltimoreRiots #BaltimoreUprising #BlackLivesMatter Movement #Baltimore"
"173",0,"#BaltimoreRiots #BaltimoreUprising #BlackLivesMatter Movement #Baltimore"
"174",0,"#Baltimore #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter"
"175",0,"Spread #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter"
"176",0,"#Baltimore #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter"
"177",0,"#Baltimore #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter"
"178",0,"#Baltimore #BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/2zpjEbk5jT"
"179",0,"RT #Baltimore #BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/a11hbU7QpR RT"
